$submission_id,$created,ageGroup,student,fieldOfStudy,googleAccountHolder,dataCollectGuess,likelyCollectedData.camera,likelyCollectedData.gps,likelyCollectedData.mobileNum,likelyCollectedData.searches,likelyCollectedData.myData,likelyCollectedData.name,likelyCollectedData.address,likelyCollectedData.shoeSize,likelyCollectedData.mobileDeviceType,likelyCollectedData.movementData,likelyCollectedData.choices,likelyCollectedData.eMail,likelyCollectedData.video,likelyCollectedData.paymentHistory,likelyCollectedData.contacts,likelyCollectedData.thirdPartiesActivity,problematicIfCollected.camera,problematicIfCollected.gps,problematicIfCollected.mobileNum,problematicIfCollected.search,problematicIfCollected.myData,problematicIfCollected.name,problematicIfCollected.address,problematicIfCollected.shoeSize,problematicIfCollected.mobileDeviceType,problematicIfCollected.movementData,problematicIfCollected.choices,problematicIfCollected.eMail,problematicIfCollected.video,problematicIfCollected.paymentHistory,problematicIfCollected.contacts,problematicIfCollected.thridPartiesActivity,$answer_time_ms
31118325,2024-03-21'T'11:32:00,young,yes,infoTech,yes,"Alt!
Personinfomrasjon
Lokasjon
Navn 
alder
Alt av Internettaktivitet
Brukernavn, Passord og kontoer
Bankkort info
Krysserefferert info fra andre kilder",5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,3,5,4,4,3,5,3,4,5,5,4,5,5,5,257415
31118410,2024-03-21'T'11:35:18,adult,yes,infoTech,yes,"Alder, kjønn, politiske meninger. Kort informasjon, bosted, land, IP, innloggings historikk (tid, sted, hvor lenge osv) Alt som er koblet opp til google, interesser, hva jeg handler, hva jeg ser på, søke historikk, ++",4,4,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,4,5,4,4,4,5,5,5,5,5,5,5,5,5,292644
31119150,2024-03-21'T'12:11:00,young,yes,econoAdmin,yes,"Posisjon, søk, generell aktivitet på deres plattformer",2,4,5,3,5,5,4,4,5,4,3,5,2,4,3,5,5,4,4,5,3,3,4,2,2,2,4,1,5,5,5,3,174512
31120522,2024-03-21'T'13:06:06,young,yes,infoTech,yes,"Apper jeg bruker, personinformasjon, handlingsmønstre på internett, nettsider jeg besøker",2,4,4,5,4,5,3,4,5,3,3,2,5,4,4,5,5,4,2,1,2,1,2,2,2,3,4,4,1,2,4,2,237273
31120599,2024-03-21'T'13:09:59,young,yes,infoTech,yes,Alt jeg gjør og trykker på,5,5,5,5,5,5,5,5,5,5,2,3,5,5,5,5,3,5,5,3,3,3,3,5,3,3,3,5,4,5,5,5,302156
31120845,2024-03-21'T'13:17:06,young,yes,infoTech,yes,"Persondata, cookies, search historikk, lokasjon",3,5,5,5,5,5,5,2,5,3,4,3,5,4,4,4,4,2,2,3,1,2,3,1,1,1,4,5,2,2,4,3,179878
31122383,2024-03-21'T'14:19:08,adult,yes,engineering,yes,"Mail, interesser, atferd på nett",2,4,5,5,5,5,4,4,5,4,4,4,5,5,4,5,5,4,5,4,3,5,5,4,5,5,5,5,5,5,5,5,290908
31124087,2024-03-21'T'15:39:05,young,yes,infoTech,yes,"Alt, søkehistorikk, adresser, posisjonsdata, preferanser, wi-fi aktivitet, reiseaktivitet, alt som kan brukes for å selge personaliserte annonser.",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,1,1,1,1,2,2,1,1,5,4,1,4,4,4,137120
31125566,2024-03-21'T'16:11:41,young,yes,engineering,yes,"Stedsdata, cookies,",4,5,4,4,5,5,4,2,5,3,2,4,5,4,3,5,5,3,3,4,2,2,3,3,2,4,4,4,4,3,5,3,286763
31131580,2024-03-21'T'22:25:18,adult,yes,infoTech,yes,"Reisevaner, kjøpevaner, det som jeg søker på nettet, mine interesser.",4,3,2,5,5,1,2,3,5,5,3,2,5,4,4,4,4,5,5,4,3,5,5,2,2,2,4,5,2,4,5,3,323039
31154524,2024-03-24'T'18:20:59,over30,yes,econoAdmin,yes,"Person og adferdsdata, som kjønn, alder, kjøpsmønster på nettet, hvilke sider jeg navigerer i og søker i Google search. Jeg har vel samtykket til mye ved pop-ups på div. websider.",2,5,2,5,5,2,4,4,5,3,4,2,5,4,4,5,5,2,5,2,2,5,4,3,2,3,2,5,2,2,5,2,442113
31156306,2024-03-24'T'22:23:09,over30,yes,bioMedic,yes,Vet ikke,3,3,5,5,5,5,5,3,3,5,5,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,195483
31158496,2024-03-25'T'10:36:43,adult,yes,socialSci,yes,"personal information, address",2,5,4,5,5,5,5,2,5,4,3,2,5,5,5,5,5,1,1,1,1,1,1,1,3,3,2,1,1,2,2,2,376859
31158665,2024-03-25'T'10:52:53,adult,yes,fishingAgriculture,yes,Personal information,2,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,2,3,5,5,5,2,5,4,460923
31191046,2024-03-31'T'14:28:42,young,yes,infoTech,yes,"adresse, bursdag, navn, betalinger, cookies, surfelogg",2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,5,3,2,1,2,4,3,5,2,5,5,5,4,2,4,5,510464
